"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-915-2024-2523-208498 to 208527","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","30","Patch Technologies, Inc.","10/1/2024 6:21:48 PM","KnowBe4","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208460 to 208497","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","38","Patch Technologies, Inc.","10/1/2024 6:20:20 PM","Spirit Environmental","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208459 to 208459","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","1","Patch Technologies, Inc.","10/1/2024 6:18:18 PM","EcoEngineers","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2020-1318-197186 to 210855","8/11/2021 10:43:21 PM","2020","1/1/2020","12/31/2020","13670","Arbor Day Foundation","10/1/2024 6:17:23 PM","Incyte Corporation","On Behalf of Third Party","Incyte Corporation 2023 Scope 1 & 2 Emission Offsets","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2019-1071-353214 to 354343","7/31/2020 9:00:05 PM","2019","1/1/2019","12/31/2019","1130","Arbor Day Foundation","10/1/2024 6:15:00 PM","Incyte Corporation","On Behalf of Third Party","Incyte Corporation 2023 Scope 1 & 2 Emission Offsets","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-915-2024-2523-208382 to 208458","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","77","Patch Technologies, Inc.","10/1/2024 5:56:53 PM","CGE Partners","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208356 to 208371","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","16","Patch Technologies, Inc.","10/1/2024 5:54:20 PM","Carbon Neutral Club","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208354 to 208355","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","2","Patch Technologies, Inc.","10/1/2024 5:52:33 PM","The Offset Foundation","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-204354 to 208353","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","4000","Patch Technologies, Inc.","10/1/2024 5:50:50 PM","Coatue","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-203854 to 204353","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","500","Patch Technologies, Inc.","10/1/2024 5:49:02 PM","Eventbrite","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-CA-680-2020-2230-6522 to 7528","1/12/2024 9:05:58 PM","2020","6/22/2020","12/31/2020","1007","Anew Carbon Development, LLC","9/30/2024 8:48:54 PM","CIRA","On Behalf of Third Party","Retired on behalf of CIRA","ACR680","Anew - Quinte Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Canadian Forestlands","Version 1.0","Quinte region","ONTARIO","CA","No","No","Yes","Yes","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-936-2023-2311-21350 to 21517","4/5/2024 10:51:59 PM","2023","12/4/2023","12/27/2023","168","Tradewater, LLC","9/30/2024 7:36:08 PM","Tradewater’s Individual Retail Customers","On Behalf of Third Party","Climate Heroes Program sales 24.09.27.-24.09.29","ACR936","Tradewater US - ODS - #4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","Version 2.0","Bowling Green","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-777-2021-2106-2056 to 2415","10/12/2023 5:01:01 PM","2021","1/19/2021","9/28/2021","360","Anew Environmental, LLC","9/30/2024 3:58:29 PM","Retired on behalf of DPIF3 CA 30 Enterprise Ave., LLC’s 2025 Emissions (1/01/25 to 12/31/25)","On Behalf of Third Party","2025 emissions compensation","ACR777","RHI HFC Reclaim 2021","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","5016 Calmview Avenue Baldwin Park, CA 91706","CALIFORNIA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2020-1318-402586 to 405837","8/11/2021 10:43:21 PM","2020","1/1/2020","12/31/2020","3252","Climate Impact Partners, LLC","9/30/2024 1:48:12 PM","Accenture Global Solutions Limited","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Accenture Global Solutions Limited for an immaterial amount of FY24 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2020-1318-395165 to 396888","8/11/2021 10:43:21 PM","2020","1/1/2020","12/31/2020","1724","Climate Impact Partners, LLC","9/30/2024 1:44:33 PM","Accenture Global Solutions Limited","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Accenture Global Solutions Limited for an immaterial amount of FY24 emissions.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-212-2020-1173-40481 to 43359","12/18/2020 11:27:07 PM","2020","1/1/2020","7/27/2020","2879","STX Commodities B.V.","9/30/2024 1:25:12 PM","Open Farm Inc.","Environmental Benefit","Retired on behalf of Open Farm Inc. for environmental benefit.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-818-2021-1810-564427 to 572426","3/19/2023 6:39:10 PM","2021","2/5/2021","12/30/2021","8000","STX Commodities B.V.","9/30/2024 12:57:50 PM","American University","On Behalf of Third Party","Retired on behalf of American University","ACR818","HT HFC Reclamation Project Champaign 2021","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Champaign","ILLINOIS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.hudsontech.com","View",
"ACR-US-818-2021-1810-512427 to 534426","3/19/2023 6:39:10 PM","2021","2/5/2021","12/30/2021","22000","STX Commodities B.V.","9/30/2024 12:57:50 PM","American University","On Behalf of Third Party","Retired on behalf of American University","ACR818","HT HFC Reclamation Project Champaign 2021","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Champaign","ILLINOIS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.hudsontech.com","View",
"ACR-US-818-2021-1810-534427 to 564426","3/19/2023 6:39:10 PM","2021","2/5/2021","12/30/2021","30000","STX Commodities B.V.","9/30/2024 12:57:01 PM","American University","On Behalf of Third Party","Retired on behalf of American University","ACR818","HT HFC Reclamation Project Champaign 2021","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Champaign","ILLINOIS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.hudsontech.com","View",
"ACR-US-818-2021-1810-484427 to 512426","3/19/2023 6:39:10 PM","2021","2/5/2021","12/30/2021","28000","STX Commodities B.V.","9/30/2024 12:55:40 PM","American University","On Behalf of Third Party","Retired on behalf of American University","ACR818","HT HFC Reclamation Project Champaign 2021","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Champaign","ILLINOIS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.hudsontech.com","View",
"ACR-US-155-2009-441-1 to 601","6/2/2016 2:42:29 PM","2009","1/1/2009","12/31/2009","601","Green Energy GPO","9/27/2024 8:04:57 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR155","Truck Stop Electrification, South Carolina","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","South Carolina","SOUTH CAROLINA","US","No","No","No","","","","","","","View",
"ACR-US-130-2009-534-1 to 10","6/2/2016 2:46:59 PM","2009","1/1/2009","12/31/2009","10","Green Energy GPO","9/27/2024 8:04:55 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR130","Truck Stop Electrification, Alabama","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Alabama","ALABAMA","US","No","No","No","","","","","","","View",
"ACR-US-141-2009-495-1133 to 1732","6/2/2016 2:45:03 PM","2009","1/1/2009","12/31/2009","600","Green Energy GPO","9/27/2024 8:04:55 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR141","Truck Stop Electrification, Maryland","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Maryland","MARYLAND","US","No","No","No","","","","","","","View",
"ACR-US-141-2009-495-1733 to 2432","6/2/2016 2:45:03 PM","2009","1/1/2009","12/31/2009","700","Green Energy GPO","9/27/2024 8:04:55 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR141","Truck Stop Electrification, Maryland","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Maryland","MARYLAND","US","No","No","No","","","","","","","View",
"ACR-US-147-2007-473-901 to 2382","6/2/2016 2:43:56 PM","2007","7/1/2007","12/31/2007","1482","Green Energy GPO","9/27/2024 8:04:54 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR147","Truck Stop Electrification, New Jersey","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","New Jersey","NEW JERSEY","US","No","No","No","","","","","","","View",
"ACR-US-142-2008-492-233 to 1700","6/2/2016 2:44:53 PM","2008","1/1/2008","12/31/2008","1468","Green Energy GPO","9/27/2024 8:04:54 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR142","Truck Stop Electrification, Michigan","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Michigan","MICHIGAN","US","No","No","No","","","","","","","View",
"ACR-US-153-2008-450-674 to 1430","6/2/2016 2:42:52 PM","2008","1/1/2008","12/31/2008","757","Green Energy GPO","9/27/2024 8:04:54 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR153","Truck Stop Electrification, Oregon","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Oregon","OREGON","US","No","No","No","","","","","","","View",
"ACR-US-131-2009-530-1 to 925","6/2/2016 2:46:44 PM","2009","1/1/2009","12/31/2009","925","Green Energy GPO","9/27/2024 8:04:53 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR131","Truck Stop Electrification, Arizona","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Arizona","ARIZONA","US","No","No","No","","","","","","","View",
"ACR-US-148-2009-469-801 to 1200","6/2/2016 2:43:47 PM","2009","1/1/2009","12/31/2009","400","Green Energy GPO","9/27/2024 8:04:53 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR148","Truck Stop Electrification, New Mexico","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","New Mexico","NEW MEXICO","US","No","No","No","","","","","","","View",
"ACR-US-148-2009-469-1 to 800","6/2/2016 2:43:47 PM","2009","1/1/2009","12/31/2009","800","Green Energy GPO","9/27/2024 8:04:53 PM","SPS Commerce","Environmental Benefit","Retirement on behalf of SPS Commerce for 2023 emissions","ACR148","Truck Stop Electrification, New Mexico","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","New Mexico","NEW MEXICO","US","No","No","No","","","","","","","View",
"ACR-US-915-2024-2523-1 to 2500","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","2500","Tradewater, LLC","9/27/2024 7:45:12 PM","Sendle","On Behalf of Third Party","Offsetting emissions from 2023","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-783-2022-2272-94628 to 94727","3/6/2024 3:49:21 AM","2022","6/8/2022","12/31/2022","100","Patch Technologies, Inc.","9/27/2024 6:54:38 PM","KnowBe4","On Behalf of Third Party","To mitigate GHG emissions","ACR783","NativState – S&J Taylor Forest Carbon Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 2.0","Sheridan, AR","ARKANSAS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.nativstate.com/project-acr-783/","View",
"ACR-FR-893-2024-2521-27432 to 27631","9/26/2024 6:44:22 PM","2024","7/9/2024","7/16/2024","200","Tradewater, LLC","9/27/2024 6:53:53 PM","WeTransfer B.V.","On Behalf of Third Party","Offsetting emissions from 2023","ACR893","Tradewater - Chile 1","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","Saint-Vulbas","Auvergne-Rhone-Alps","FR","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-936-2023-2311-21345 to 21349","4/5/2024 10:51:59 PM","2023","12/4/2023","12/27/2023","5","Tradewater, LLC","9/27/2024 6:49:52 PM","Schilling Cider","On Behalf of Third Party","Offsetting August 2024 Sales of Imperial Apple Cider","ACR936","Tradewater US - ODS - #4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","Version 2.0","Bowling Green","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-936-2023-2311-19762 to 19794","4/5/2024 10:51:59 PM","2023","12/4/2023","12/27/2023","33","Tradewater, LLC","9/27/2024 6:41:43 PM","Tradewater’s Individual Retail Customers","On Behalf of Third Party","Climate Heroes Program sales 24.09.25-24.09.26","ACR936","Tradewater US - ODS - #4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","Version 2.0","Bowling Green","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-596-2020-1513-21453 to 22588","5/4/2022 10:42:02 PM","2020","1/1/2020","12/31/2020","1136","South Pole USA Inc.","9/27/2024 3:47:07 PM","Blacklane GmbH","On Behalf of Third Party","Retired on behalf of Blacklane, Covering 2022-2023 CO2 Emissions","ACR596","Anew - Boone Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","SE Kentucky","KENTUCKY","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-637-2019-1565-2001 to 3000","6/13/2022 7:34:32 PM","2019","2/13/2019","12/31/2019","1000","South Pole USA Inc.","9/27/2024 3:43:58 PM","Blacklane GmbH
","On Behalf of Third Party","Retired on behalf of Blacklane, Covering 2022-2023 CO2 Emissions","ACR637","ILTF/NICC & SIG  Keweenaw Bay Indian Community Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Baraga, MI","MICHIGAN","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-637-2019-1565-8001 to 9750","6/13/2022 7:34:32 PM","2019","2/13/2019","12/31/2019","1750","South Pole USA Inc.","9/27/2024 3:42:39 PM","Blacklane GmbH","On Behalf of Third Party","Retired on behalf of Blacklane, Covering 2022-2023 CO2 Emissions","ACR637","ILTF/NICC & SIG  Keweenaw Bay Indian Community Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Baraga, MI","MICHIGAN","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
